gene_id	CD-PTKO_18_27m_vs_CD-PTWT_18_27m	CD_PTWT_16m_vs_CD_PTWT_6m	CD_PTWT_6m_vs_WD_PTWT_6m	CD_PTWT_18_27m_vs_CD_PTWT_6m	CD_PTWT_18_27m_vs_WD_PTWT_18_27m	WD-PTKO_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_16m_vs_WD_PTWT_6m	WD-PTWT_18_27m_vs_WD-PTKO_18_27m	CD_PTWT_16m_vs_WD_PTWT_16m	WD-PTWT_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_18_27m_vs_WD_PTWT_6m	WD-PTKO_18_27m_vs_CD-PTKO_18_27m
ENSMUSG00000023046	0.0646975	-2.97697	1.3819	0.48139	0.178733	-0.117032	0.100131	0.286927	-1.7018400000000002	0.178733	2.03741	-0.184906
ENSMUSG00000023067	1.27976	0.51444	-0.674747	1.55254	0.385513	2.3719	-0.413714	-1.99341	0.24458200000000002	0.385513	1.2591	1.0934
ENSMUSG00000023078	2.0583299999999998	2.61099	-0.327943	3.01681	1.44269	2.97675	3.29596	-1.5422799999999999	-1.02324	1.44269	4.12695	0.921638
ENSMUSG00000023087	-0.408554	-0.6602680000000001	0.201335	-1.09271	1.59101	1.48753	0.658396	0.0947237	-1.12952	1.59101	0.6963520000000001	1.90432
ENSMUSG00000023224	0.981627	-0.495123	0.07103510000000002	0.6615340000000001	0.466058	0.9805280000000001	-0.023041299999999997	-0.5237149999999999	-0.41100600000000004	0.466058	1.19435	-0.00245044
ENSMUSG00000023274	2.45345	-0.43256700000000003	-0.8048489999999999	1.11135	1.06939	1.62899	0.683757	-0.5679930000000001	-1.93052	1.06939	1.37145	-0.8251649999999999
ENSMUSG00000023279	0.0668544	0.409271	-0.474649	1.48708	0.283569	0.725631	0.00996899	-0.452028	-0.0843393	0.283569	1.2918	0.65903
ENSMUSG00000023349	4.7047	-0.526721	1.03726	0.9311520000000001	1.0971	3.0764400000000003	1.18632	-1.9845	-0.686346	1.0971	3.0601599999999998	-1.62852
ENSMUSG00000023868	0.992613	-0.7245199999999999	0.547303	-0.300719	0.879869	1.82201	0.400148	-0.9499129999999999	-0.5882689999999999	0.879869	1.1227200000000002	0.8320790000000001
ENSMUSG00000023886	0.63089	-0.987137	0.6385649999999999	0.522608	-0.00543096	0.7142229999999999	-0.64225	-0.7274079999999999	0.28379499999999996	-0.00543096	1.15145	0.0768723
ENSMUSG00000023905	0.462028	-0.107271	0.228098	-0.022489	0.300668	1.92924	0.0555514	-1.63806	0.0561515	0.300668	0.502742	1.47228
ENSMUSG00000023913	0.670507	0.09563560000000002	0.201752	0.331065	0.170194	1.13527	0.192029	-0.9732069999999999	0.0952909	0.170194	0.699153	0.46612299999999995
ENSMUSG00000024013	1.3175700000000001	0.06245880000000001	-0.34216799999999997	0.5579850000000001	0.391412	0.770255	-0.15826600000000002	-0.389334	-0.131347	0.391412	0.603542	-0.545628
